"";"user_id";"status_id";"screen_name";"text";"favorite_count";"retweet_count"
"338";"1523565611208613888";"1568048745706835976";"xbbtc1";"@ApsolutProtocol @dao0oad @Long91173130  #Apsolut";"0";"0"
"339";"125785869";"1574161487823654912";"pwoods10";"The dog’s reaction.. 😂 https://t.co/nYdHGCvAXc";"0";"8845"
"340";"193142496";"193142496";"john_buechli";NA;NA;NA
"341";"14906115";"1574723544465874944";"guicookie";"@remi_tetot @Hero_NFT_ @TeamKujira The Terra/SOL collection for @Hero_NFT_ was my first SOL NFT buy. Bought on SOL… https://t.co/ejMXuCScz3";"0";"0"
"342";"85385797";"85385797";"npremd";NA;NA;NA
"343";"263359936";"1350456168737595398";"woz_dog";"Kids today never experienced the real Wayne Rooney ....

 https://t.co/84r7mTXrvn";"0";"5493"
"344";"1558160601062465536";"1558160601062465536";"Jose94912121";NA;NA;NA
"345";"720624114046619648";"720624114046619648";"Battushig824g";NA;NA;NA
"346";"2164597418";"1573808042583392256";"TheChandrima";"""Digital twins for selecting the optimal ventilated strawberry packaging based on the unique hygrothermal condition… https://t.co/7NEkViC0dz";"0";"1"
"347";"1163004266";"1163004266";"tredfordmills";NA;NA;NA
"348";"780292093839220736";"1574639856998760448";"martinhoyes";"Attending this year's #HRTechConf felt like spring (after a long winter.) Here's a recap of 6 major themes and high… https://t.co/tFjpZ6izDM";"0";"7"
"349";"1148128761474236416";"1148128761474236416";"itslucassss_";NA;NA;NA
"350";"1490945271055863808";"1572560908874031106";"renee19860606";"来聊聊~
https://t.co/ZkhJSjo0i5";"0";"0"
"351";"132327889";"1574228256898748416";"bushw00d";"@nw3 Donkeys are pretty bad. Not sure the enthusiasm is all that high here in Denver.";"0";"0"
"352";"2182357285";"1529105344810651648";"chandra1526";"@GabyDabrowski Hi Gaby, how to know the exact time of the doubles match? these match times move a lot";"0";"0"
"353";"19380198";"1573557031939686400";"fayfeeney";"Yes, I've pitched half baked ideas in Zoom meetings.

Yet after having an idea shot down there may be no greater sa… https://t.co/N6rKswuXKA";"0";"0"
"354";"1344772032";"1568997888784584705";"enesdemirci91";"@Haber 128 degil 349 milyar dolar. Takip edin yalan @haber'iniz olsun. 

https://t.co/ciaoFFJrvT";"0";"0"
"355";"528787522";"528787522";"chrispearson90";NA;NA;NA
"356";"241577695";"1461285570261528585";"ciaranmcgarvey";"Together Again This Christmas…. https://t.co/v0ncqCqOuE";"0";"1"
"357";"1333746504";"1125933781154705411";"FCohas77";"@CuomoPrimeTime";"0";"0"
"358";"3001272125";"1574543410374922241";"joao_pmlima";"The properties in question have a 100% combined market value of US$755 million and serve two of the world’s busiest… https://t.co/47w5DjLYXa";"0";"1"
"359";"69467820";"1552052333109993472";"audreyfrancesny";"@timseymour @GuyAdami @ReachTVNetwork Meta World Peace for the win";"4";"0"
"360";"881926358";"1572257269688975361";"SimpsonCupGB";"Here’s a great review of this year’s #simpsoncup - with a big thanks to @PGATOUR for supporting us!… https://t.co/CwKMSJAmd5";"17";"6"
"361";"362105085";"1313501690721689600";"JohnLutt";"https://t.co/V2Hqt4nv15";"0";"1"
"362";"1421098334";"1421098334";"WellingtonSsh";NA;NA;NA
"363";"365283857";"1568499326036344834";"mayur_walvekar";"@dwarkesh_sp for reference, animations as portrayed by David Rubenstein on his Bloomberg Tv show or principles by R… https://t.co/vVEz44kl5Q";"0";"0"
"364";"1564548659676684288";"1564548659676684288";"ValaamReal";NA;NA;NA
"365";"347933087";"1563977677413175296";"Kuchhbhi_";"We are being attacked with Pak-Urduwood bot army. 
Retweet if you #SupportGemsofBollywood 🙏";"0";"16803"
"366";"449305290";"1559969524723630081";"Deanna_Elle";"😭 https://t.co/P8l1I881Wz";"0";"0"
"367";"449441163";"1574595093532532737";"JohnLaurenzo1";"Hearing great horned owls calling back and forth in the trees tonight. https://t.co/Som4hpP1s9";"0";"0"
"368";"2730434958";"1571253857220530176";"graystonetech";"@SergeGatari SaaS";"0";"0"
"369";"909413947819696128";"1574678685193740288";"MbaEconomic";"MBA Economics
Get easy notes for Management with all subject MBA/BBA Course
https://t.co/DuBET8u8ax https://t.co/FvPveJeDKb";"0";"0"
"370";"3056761";"1566445819972276226";"franzeta";"Taylor Hawkins' son, Shane Hawkins, performing ""My Hero"" with Foo Fighters ❤️ https://t.co/Bkf81mEtC0";"0";"7768"
"371";"1559845616871739392";"1559845616871739392";"mieps5";NA;NA;NA
"372";"629700971";"629700971";"Colecraft122";NA;NA;NA
"373";"3316248054";"925680081355268096";"ning7111";"@LuGao6 @dhasemusic So cool!";"0";"0"
"374";"1556508440687689728";"1564761823684993025";"TolefreeTolefr1";"@yuna__yyy Lucky 🐈";"0";"0"
"375";"2447723174";"1467944896090849283";"HeinCaspar";"acer https://t.co/QqBfJ5rsW3";"0";"0"
"376";"2573216979";"1286035609937678337";"dpr1993";"@petercrouch can you talk about whether you dived against bolton on the last day of the 11:12 season on the podcast?";"0";"0"
"377";"1561986865296977920";"1561986865296977920";"nc13943";NA;NA;NA
"378";"1306747136403533824";"1572726177193672704";"lifegotomorrow";"Napoleon: Q 

The Devil: A https://t.co/u18CCEgC9T";"1";"0"
"379";"1223314183971909632";"1574017292526026752";"SweetCattyKing2";"https://t.co/8XxBKjXGh5";"0";"755"
"380";"1552123312561688576";"1552123312561688576";"stanbluzer";NA;NA;NA
"381";"2863087303";"1574614551579963393";"EdsonRomario200";"https://t.co/HLb7dxA9G4";"0";"2124"
"382";"137154920";"1574525107644555285";"mjdarmon";"YouTube is free education.

But 99% don’t know the best spots on its virtual campus.

Here are the top channels to accelerate your learning:";"0";"57343"
"383";"19571580";"1574700822944006148";"JoeyCarl01";"@RealStephenKerr Well i'm glad you've decided that Stephen..... 🥱";"1";"0"
"384";"165203205";"165203205";"rivers25";NA;NA;NA
"385";"47697485";"1563425374322667520";"adamk2326";"@Springboks So bad in attack, defence and off the boot. He was found out in France. Im surprised Leicester gave him a contract.";"0";"0"
"386";"204937655";"1562499101991657478";"smokeyNo7";"@WeldingMorton David Morton takes Deposits of people and doesn't show up to do the work and won't give back the dep… https://t.co/doeh1i8GCB";"0";"1"
"387";"1487692379805163520";"1573559096275501056";"dean_late_smith";"@talkSPORT Absolute Cunt";"0";"0"
"388";"157059478";"157059478";"brains88";NA;NA;NA
"389";"22670928";"1560855443714367488";"BigSimo83";"“Chris Smalling is better than Harry Maguire”  they laughed but he was right all along.
https://t.co/IW0KbLrbpG";"0";"2069"
"390";"65871270";"65871270";"Gill_Mandeep";NA;NA;NA
"391";"1047919956636180480";"1574497352454488134";"elburnso";"POPE is shit! Fact";"0";"0"
"392";"807504700207693824";"1573732664342941696";"Marcprobert3";"@ReturnofR All my life... thr foos";"1";"0"
"393";"43392874";"1574597415809810432";"TheJeetness";"@redsteeze HE GOT YOU OH NO!! 😂😂";"0";"0"
"394";"1560612874023993344";"1560612874023993344";"surphl10212734";NA;NA;NA
"395";"1550097425536278528";"1574315584870928385";"MartinKornejew";"Zusammen mit @christianbaye13 &amp; @MSchularick haben wir einen Vorschlag erarbeitet, wie man in Deutschland einen Ret… https://t.co/HiJbEbN5OQ";"0";"34"
"396";"4537809447";"4537809447";"AmrMalakX";NA;NA;NA
"397";"207704189";"1552367101452722176";"OutsidetheFink";"These boundaries for 20/20 should have to be bigger then the ones at Bristol today. Although it must be great for t… https://t.co/ITT7lMzbZS";"1";"0"
"398";"1526184936209891328";"1574132302992609281";"SamJord06496764";"@johnestevens @GNev2 More than welcome to hand more tax to the government under the voluntary tax scheme";"1";"0"
"399";"622960496";"1294716597815345154";"GMolesworth";"This ad enraged @seanhannity so much he had his lawyers go after @MeidasTouch on twitter. Retweet far and wide:… https://t.co/qJC2QNXIlw";"0";"4698"
"400";"1158999213524566016";"1574294353291247616";"lawlor1988mufc";"@SteveAustine_ke @sportbible 😂😂😂😂😂
Tsimikas scrapping the barrel now you are lad";"1";"0"
"401";"592671618";"1539932621815177216";"shipherenow";"@Football__Tweet Autoglass";"4";"0"
"402";"287834630";"1574712723421773824";"GNev2";"Appreciated David 👍🏻 https://t.co/YxVdRDFBxB";"503";"9"
"403";"1086851572376715264";"1574649792856264704";"V3RIFIED_";"@imintrugs Jesus you Don use up to 40 milli degen
Omo this man is on a whole new level";"0";"0"
"404";"51145267";"51145267";"nminchin";NA;NA;NA
